drugbank-id1,drugbank-id2
DB00001,DB00374
DB00002,DB07931
DB00002,DB15336
DB00006,DB00495
DB00001,DB00946
DB00006,DB13857
DB00005,DB08935
DB00005,DB13856
DB00005,DB01002
DB00005,DB12130
DB00001,DB00991
DB00005,DB09029
DB00005,DB11770
DB00001,DB13133
DB00002,DB15113
DB00001,DB00482
DB00001,DB06209
DB00006,DB04812
DB00001,DB06616
DB00001,DB01416
DB00001,DB00526
DB00005,DB01409
DB00005,DB00570
DB00006,DB00229
DB00005,DB00997
DB00001,DB09310
DB00006,DB00446
DB00005,DB06770
DB00005,DB00799
DB00006,DB13866
DB00001,DB13875
DB00002,DB12683
DB00005,DB00866
DB00006,DB09251
DB00006,DB00291
DB00001,DB00614
DB00004,DB09107
DB00005,DB00617
DB00001,DB01248
DB00005,DB11642
DB00001,DB01204
DB00001,DB13953
DB00001,DB00671
DB00006,DB01328
DB00005,DB01118
DB00001,DB01139
DB00005,DB14724
DB00005,DB01281
DB00006,DB05990
DB00005,DB00694
DB00002,DB12118
DB00005,DB11094
DB00005,DB11041
DB00001,DB06807
DB00001,DB01435
DB00001,DB14738
DB00001,DB00199
DB00001,DB11636
DB00005,DB05239
DB00001,DB09401
DB00005,DB02546
DB00006,DB01283
DB00006,DB13044
DB00001,DB11429
DB00006,DB13230
DB00005,DB04956
DB00001,DB01420
DB00005,DB00956
DB00001,DB14577
DB00005,DB00682
DB00006,DB00081
DB00005,DB00993
DB00006,DB01381
DB00001,DB09050
DB00005,DB01062
DB00002,DB12530
DB00005,DB00586
DB00006,DB11079
DB00006,DB00928
DB00006,DB00480
DB00002,DB14871
DB00006,DB00293
DB00006,DB13646
DB00005,DB11828
DB00001,DB00244
DB00006,DB06737
DB00005,DB01216
DB00002,DB11850
DB00001,DB01229
DB00006,DB13001
DB00001,DB00286
DB00001,DB08867
DB00006,DB14655
DB00002,DB15104
DB00005,DB00224
DB00005,DB00495
DB00005,DB08502
DB00005,DB06267
DB00006,DB00721
DB00002,DB06643
DB00005,DB11641
DB00006,DB09084
DB00006,DB04898
DB00001,DB11478
DB00006,DB13616
DB00002,DB05459
DB00005,DB14126
DB00006,DB00775
DB00005,DB12500
DB00005,DB00839
DB00005,DB06479
DB00001,DB01395
DB00002,DB12893
DB00001,DB01331
DB00006,DB06777
DB00001,DB00806
DB00006,DB00078
DB00005,DB00384
DB00006,DB04896
DB00001,DB02261
DB00006,DB00833
DB00006,DB00188
DB00005,DB00069
DB00005,DB00446
DB00001,DB01329
DB00005,DB00914
DB00005,DB01124
DB00001,DB04743
DB00002,DB00076
DB00002,DB14947
DB00001,DB01628
DB00006,DB09259
DB00006,DB00564
DB00002,DB09035
DB00001,DB13933
DB00001,DB09318
DB00001,DB06715
DB00005,DB06480
DB00001,DB09216
DB00002,DB14988
DB00005,DB11834
DB00005,DB15483
DB00001,DB01140
DB00005,DB00318
DB00001,DB00783
DB00001,DB00717
DB00001,DB00430
DB00005,DB04356
DB00005,DB00540
DB00002,DB15349
DB00005,DB00502
DB00005,DB00641
DB00005,DB06217
DB00005,DB01098
DB00005,DB01283
DB00001,DB08439
DB00002,DB09037
DB00002,DB13976
DB00006,DB00631
DB00001,DB11166
DB00005,DB11742
DB00005,DB06212
DB00005,DB05351
DB00006,DB13509
DB00001,DB14093
DB00001,DB13310
DB00002,DB05545
DB00006,DB09217
DB00005,DB00081
DB00005,DB08899
DB00006,DB00233
DB00001,DB14598
DB00006,DB00176
DB00005,DB00532
DB00002,DB12159
DB00001,DB13563
DB00005,DB13203
DB00005,DB00374
DB00001,DB00624
DB00005,DB00946
DB00006,DB00606
DB00001,DB00294
DB00001,DB00535
DB00005,DB13411
DB00005,DB01211
DB00005,DB00293
DB00001,DB11466
DB00005,DB01384
DB00005,DB01193
DB00005,DB01238
DB00006,DB12289
